REF_AREA;QUARTER;UNE_RATE_PCT
AUS;2025Q1;4.05
AUS;2025Q2;4.17
AUS;2025Q3;4.32
AUS;2025Q4;4.26
AUS;2026Q1;4.18
AUT;2025Q1;5.45
AUT;2025Q2;5.73
AUT;2025Q3;5.73
AUT;2025Q4;5.83
AUT;2026Q1;5.6
BEL;2025Q1;6.2
BEL;2025Q2;6.07
BEL;2025Q3;6.17
BEL;2025Q4;6.43
BEL;2026Q1;6.4
BGR;2025Q1;3.45
BGR;2025Q2;3.53
BGR;2025Q3;3.73
BGR;2025Q4;3.3
BGR;2026Q1;3.1
CAN;2025Q1;6.7
CAN;2025Q2;6.93
CAN;2025Q3;7.03
CAN;2025Q4;6.77
CAN;2026Q1;6.6
CHL;2025Q1;8.59
CHL;2025Q2;8.74
CHL;2025Q3;8.39
CHL;2025Q4;8.55
COL;2025Q1;9.34
COL;2025Q2;8.86
COL;2025Q3;8.79
COL;2025Q4;8.56
COL;2026Q1;8.8
CRI;2025Q1;7.36
CRI;2025Q2;6.96
CRI;2025Q3;5.92
CRI;2025Q4;6.54
CZE;2025Q1;2.65
CZE;2025Q2;2.87
CZE;2025Q3;2.97
CZE;2025Q4;3.17
CZE;2026Q1;3.2
DEU;2025Q1;3.6
DEU;2025Q2;3.73
DEU;2025Q3;3.8
DEU;2025Q4;3.93
DEU;2026Q1;4.0
DNK;2025Q1;6.2
DNK;2025Q2;6.3
DNK;2025Q3;6.4
DNK;2025Q4;6.47
DNK;2026Q1;7.5
EA;2025Q1;6.35
EA;2025Q2;6.3
EA;2025Q3;6.3
EA;2025Q4;6.27
EA;2026Q1;6.1
ESP;2025Q1;10.85
ESP;2025Q2;10.6
ESP;2025Q3;10.5
ESP;2025Q4;10.1
ESP;2026Q1;9.8
EST;2025Q1;8.05
EST;2025Q2;7.67
EST;2025Q3;7.57
EST;2025Q4;6.63
EST;2026Q1;6.3
EU27_2020;2025Q1;6.0
EU27_2020;2025Q2;6.0
EU27_2020;2025Q3;6.0
EU27_2020;2025Q4;5.97
EU27_2020;2026Q1;5.8
FIN;2025Q1;9.35
FIN;2025Q2;9.3
FIN;2025Q3;9.93
FIN;2025Q4;10.43
FIN;2026Q1;10.0
FRA;2025Q1;7.6
FRA;2025Q2;7.57
FRA;2025Q3;7.73
FRA;2025Q4;7.87
FRA;2026Q1;7.7
G7;2025Q1;4.39
G7;2025Q2;4.44
G7;2025Q3;4.54
G7;2025Q4;4.61
G7;2026Q1;4.52
GBR;2025Q1;4.55
GBR;2025Q2;4.7
GBR;2025Q3;4.97
GBR;2025Q4;5.17
GRC;2025Q1;9.4
GRC;2025Q2;8.9
GRC;2025Q3;8.73
GRC;2025Q4;8.37
GRC;2026Q1;7.7
HRV;2025Q1;4.95
HRV;2025Q2;4.8
HRV;2025Q3;4.73
HRV;2025Q4;4.63
HRV;2026Q1;4.5
HUN;2025Q1;4.25
HUN;2025Q2;4.33
HUN;2025Q3;4.37
HUN;2025Q4;4.47
HUN;2026Q1;4.5
IRL;2025Q1;4.45
IRL;2025Q2;4.6
IRL;2025Q3;4.93
IRL;2025Q4;4.67
IRL;2026Q1;4.7
ISL;2025Q1;3.9
ISL;2025Q2;3.97
ISL;2025Q3;4.4
ISL;2025Q4;5.03
ISL;2026Q1;5.3
ISR;2025Q1;2.92
ISR;2025Q2;2.96
ISR;2025Q3;3.03
ISR;2025Q4;3.13
ISR;2026Q1;2.86
ITA;2025Q1;6.2
ITA;2025Q2;6.27
ITA;2025Q3;5.97
ITA;2025Q4;5.63
ITA;2026Q1;5.1
JPN;2025Q1;2.45
JPN;2025Q2;2.5
JPN;2025Q3;2.53
JPN;2025Q4;2.6
JPN;2026Q1;2.7
KOR;2025Q1;2.8
KOR;2025Q2;2.7
KOR;2025Q3;2.73
KOR;2025Q4;2.93
KOR;2026Q1;3.0
LTU;2025Q1;6.7
LTU;2025Q2;6.97
LTU;2025Q3;6.77
LTU;2025Q4;6.7
LTU;2026Q1;6.4
LUX;2025Q1;6.5
LUX;2025Q2;6.43
LUX;2025Q3;6.5
LUX;2025Q4;6.7
LUX;2026Q1;6.9
LVA;2025Q1;7.05
LVA;2025Q2;6.67
LVA;2025Q3;7.13
LVA;2025Q4;6.9
LVA;2026Q1;6.9
MEX;2025Q1;2.59
MEX;2025Q2;2.69
MEX;2025Q3;2.67
MEX;2025Q4;2.63
MEX;2026Q1;2.61
NLD;2025Q1;3.85
NLD;2025Q2;3.8
NLD;2025Q3;3.9
NLD;2025Q4;4.0
NLD;2026Q1;4.0
NOR;2025Q1;4.3
NOR;2025Q2;4.8
NOR;2025Q3;4.67
NOR;2025Q4;4.4
NOR;2026Q1;4.6
OECD;2025Q1;4.92
OECD;2025Q2;4.95
OECD;2025Q3;5.0
OECD;2025Q4;5.02
OECD;2026Q1;4.96
POL;2025Q1;3.15
POL;2025Q2;3.07
POL;2025Q3;3.2
POL;2025Q4;3.2
POL;2026Q1;3.1
PRT;2025Q1;6.3
PRT;2025Q2;6.17
PRT;2025Q3;5.97
PRT;2025Q4;5.7
PRT;2026Q1;5.6
ROU;2025Q1;6.15
ROU;2025Q2;6.17
ROU;2025Q3;6.0
ROU;2025Q4;6.17
ROU;2026Q1;6.0
SVK;2025Q1;5.25
SVK;2025Q2;5.4
SVK;2025Q3;5.43
SVK;2025Q4;5.57
SVK;2026Q1;5.6
SVN;2025Q1;3.85
SVN;2025Q2;3.43
SVN;2025Q3;3.9
SVN;2025Q4;4.17
SVN;2026Q1;3.9
SWE;2025Q1;8.5
SWE;2025Q2;8.7
SWE;2025Q3;8.8
SWE;2025Q4;9.03
SWE;2026Q1;8.0
TUR;2025Q1;8.1
TUR;2025Q2;8.5
TUR;2025Q3;8.4
TUR;2025Q4;8.33
TUR;2026Q1;8.35
USA;2025Q1;4.2
USA;2025Q2;4.2
USA;2025Q3;4.33
USA;2025Q4;4.45
USA;2026Q1;4.35
